Kodas,Pavadinimas,Aprašas,"Pagrindinės užduotys","Būdingos kompetencijos"
011001,"Ginkluotųjų pajėgų karininkas","Prižiūri operacijas ir manevrus, skiria pareigas ir vadovauja pavaldiems štabo nariams, užtikrina veiksmingą komunikaciją padaliniuose ir tarp jų bei atlieka su mokymu susijusias pareigas, naudoja įrangą ir prižiūri įrangos techninę priežiūrą.","• gina žmogaus teises kolegų atžvilgiu ir tarp jų, taip pat civilių gyventojų, su kuriais asmuo bendrauja, žmogaus teises • moko karius arba kariais norinčius tapti asmenis apie rikiuotę, kovos techniką, ginklus, norminius teisės aktus, operacijų procedūras, kamufliažą ir kitą karinę praktiką• nustato grėsmes saugumui, atlieka tyrimus, patikrinimus arba patruliuoja ir imasi reikiamų veiksmų grėsmei sumažinti ar neutralizuoti• parengia strateginius ir taktinius karinės operacijos komponentus, atsižvelgia į turimą įrangą ir paskirsto užduotis įvairioms pajėgoms, prižiūri ginklų ir kitų kovinių įrenginių naudojimą• vadovauja karinių pajėgų dislokavimui į teritorijas, kuriose vyksta konfliktai ir prižiūri dislokavimo procedūras, laikosi taktinių svarstymų ir karinių pajėgų saugumo","• ginti žmogaus teises• mokyti karius • nustatyti grėsmes saugumui• parengti karinę taktiką • vadovauti pajėgų dislokavimo veiklai"
021001,"Ginkluotųjų pajėgų puskarininkis","Vadovauja karių būriams ir vykdo instruktavimo užduotis, disponuoja įranga, pvz., sunkiąja technika ir ginkluote.","• duoda įsakymus kovos ar panašaus susidūrimo su priešų padaliniais metu, užtikrina karinių pajėgų saugumą ir operacijos sėkmę• prižiūri, kaip karinių pajėgų darbuotojai naudojasi specialia karine įranga, užtikrina, kad leidimo neturintys darbuotojai neturėtų galimybės naudotis tam tikrų tipų įranga, kad kiekvienas asmuo naudotų įrangą pagal taisykles• laikosi teisinių reikalavimų, naudojasi įvairių rūšių šaunamaisiais ir kitais ginklais bei atitinkamais jų šaudmenimis• vadovauja karinių pajėgų veiksmams, vykdo kovinę, humanitarinę ar kitokią gynybinę misiją, vadovaujasi prieš operaciją parengtomis strategijomis ir užtikrina ryšį su kitais būriais • palaiko įvairių organizacijos skyrių ir darbuotojų ryšius, vykdo tam tikras operacijas ar misijas, užtikrina operacijų sėkmingumą ir sklandų organizacijos veikimą","• duoti kovinius įsakymus • prižiūrėti karinės įrangos naudojimą • užtikrinti ginklų atitiktį reikalavimams• vadovauti karinėms pajėgoms • palaikyti su veikla susijusius ryšius"
031001,"Ginkluotųjų pajėgų eilinis","Kovoja ir vykdo kovos užduotis arba teikia pagalbą taikos palaikymo misijų metu, teikia kitas humanitarines paslaugas. Naudoja ginklus ir teikia gynybos paslaugas, užbaigia užduotis taip, kad padarytų kuo mažiau žalos.","• naudoja apsaugos ir stebėjimo įrangą, stebi ką žmonės veikia tam tikroje teritorijoje, ir užtikrina jų saugumą• naudoja įvairias ryšių priemones, pavyzdžiui, žodiniu, rašytiniu, skaitmeniniu ir telefono ryšiu, kuria idėjas ar informaciją ir jomis dalijasi • nustato grėsmes saugumui, atlieka tyrimus, patikrinimus arba patruliuoja ir imasi reikiamų veiksmų grėsmei sumažinti ar neutralizuoti• teikia tiesioginę pagalbą civiliams gyventojams pavojingose ar krizę patiriančiose teritorijose, tiekia maistą ir vandenį, medicinos išteklius, įsteigti pagalbos įstaigas, vykdo evakuacijos procedūras ir užtikrina teritorijos saugumą• vykdo karines operacijas pagal duotus vadovų nurodymus, tokius kaip kovinės operacijos, gelbėjimo misijos, pagalbos misijos, paieškos ir žvalgybos misijos ar kitos operacijos, susijusios su gynyba","• naudoti apsaugos ir stebėjimo įrangą • naudoti skirtingus bendravimo kanalus • nustatyti grėsmes saugumui• teikti humanitarinę pagalbą• vykdyti karines operacijas"
111101,"Seimo narys","Atstovauja gyventojams ir savo politinės partijos interesams Seime, apibrėžia bei nustato valstybės politikos kryptis, rengia, priima, taiso arba atšaukia įstatymus ir kitus teisės aktus.","• dalyvauja Seimo posėdžiuose;• balsuoja dėl visų svarstomų klausimų Seimo, komiteto ir komisijos, kurių narys jis yra, posėdžiuose;• rengia ir teikia Seimui svarstyti įstatymų bei kitų teisės aktų projektus, taip pat teikia pasiūlymus dėl įstatymų, kurie turi būti apsvarstyti Seime;• dalyvauja visų Seimo komitetų ir komisijų posėdžiuose, taip pat Vyriausybės posėdžiuose, kuriuose svarstomi jo pateikti klausimai diskusijoje visais svarstomais klausimais, žodžiu ir raštu pateikia pasiūlymus, pastabas, pataisas;• kartu su kitais Seimo nariais teikia įstatymo projektą dėl Konstitucijos keitimo, inicijuoja apkaltą, pradeda nepasitikėjimo, interpeliacijos procedūras, šaukia neeilinę Seimo sesiją, kreipiasi į Konstitucinį Teismą. ","• vadovauti viešosios politikos įgyvendinimui;• parengti teisės aktų pasiūlymus;• priimti teisėkūros sprendimus;• analizuoti galiojančius teisės aktus;• vesti derybas ir diskusinio pobūdžio dialogą."
111102,"Politikas (išskyrus Seimo narius)","Įgyvendina politinėje programoje užfiksuotus įsipareigojimus, per rinkimus duotus šalies piliečiams.","• užtikrina įstatymų ir tarptautinių sutarčių vykdymą;• atsako už politinės programos, nutarimų, sprendimų bei valdymo sričių įgyvendinimą;• dirba su savo politine komanda – patarėjais bei kanceliarija;• teikia darbo reglamento nustatyta tvarka įstatymų ir kitų teisės aktų projektus;• sprendžia kompetencijai priklausančius klausimus. ","• vadovauti viešosios politikos įgyvendinimui;• parengti teisės aktų pasiūlymus, kad būtų galima pasiūlyti naujus arba pakeisti galiojančius teisės aktus;• palaikyti ryšius su vietos valdžios institucijomis;• vesti politines derybas;• užmegzti tarptautinius ryšius su įvairių šalių organizacijomis, siekiant bendradarbiauti ir keistis informacija."
111103,"Savivaldybės pareigūnas","Atstovauja vietos gyventojų interesams savivaldybės taryboje ir atlieka vietos valdžios teisėkūros užduotis.","• nustato ir rengia vietos valdžios politikos kryptis bei vadovauja jas įgyvendinant;• dalyvauja savivaldybės tarybos posėdžiuose;• nuolat bendrauja su rinkėjais ir ne rečiau kaip vieną kartą per metus atsiskaito rinkėjams reglamento nustatyta tvarka;• palaiko ryšius su Vyriausybės pareigūnais, kad būtų atstovaujama vietos interesams, ir prižiūri visus savivaldybės tarybos atsakomybės sričiai priskiriamas darbus;• analizuoja gyventojų susirūpinimą keliančius klausimus ir atitinkamai reaguoja į juos. ","• vadovauti viešosios politikos įgyvendinimui;• plėtoti bendruomenės ryšius;• analizuoti bendruomenės poreikius;• konsultuoti teisės aktų klausimais;• palaikyti ryšius su vietos mokslo, ekonomikos ir pilietinės visuomenės atstovais;• vesti politines derybas."
111190,"Kiti teisės aktų leidėjai","Kiti teisės aktų leidėjai, kurie neišvardyti 1111 pogrupyje „Teisės aktų leidėjai“ ir kurie apibrėžia, nustato valstybės, regiono arba vietos valdžios institucijų ir tarptautinių valstybinių agentūrų politikos kryptis ir vadovauja jas įgyvendinant, taip pat administruoja teisės aktus.","• pirmininkauja įstatymų leidžiamųjų institucijų ir valstybės, regiono ar vietos valdžios administracinių tarybų arba teisėkūros posėdžių darbui arba dalyvauja jų darbe;• dalyvauja derybose su kitais teisės aktų leidėjais ir interesų grupių atstovais, siekdami suderinti skirtingus interesus, ir parengia politikos kryptis bei susitarimus;• nustato valstybės, regiono arba vietos valdžios politikos kryptis ir vadovauja jas įgyvendinant;• rengia, priima, taiso arba atšaukia įstatymus, norminius teisės aktus ir reglamentuojamuosius dokumentus vadovaudamiesi įstatymais ir kitais teisės aktais;• dalyvauja valdymo lygmens administracinėse tarybose arba oficialiuose komitetuose. ","• vadovauti viešosios politikos įgyvendinimui;• konsultuoti teisės aktų klausimais;• analizuoti teisės aktus;• parengti teisės aktų pasiūlymus, kad būtų galima pasiūlyti naujus arba pakeisti galiojančius teisės aktus;• vesti politines derybas."
111201,"Vyresnysis valstybės institucijos tarnautojas (pareigūnas)","Konsultuoja valstybės politikos klausimais, prižiūri, kaip valstybės institucijos bei agentūros aiškina ir įgyvendina valstybės politikos kryptis ir teisės aktus.","• kartu su Vyriausybe arba su ja konsultuodamasis nustato arba tvirtina ir vertina valstybės politikos kryptims įgyvendinti skirtas programas ir procedūras;• padeda koordinuoti ir įgyvendinti bendruosius valstybės valdymo efektyvumo didinimo klausimus;• konsultuoja rengiant valstybės biudžetą, įstatymus ir reglamentuojamuosius dokumentus, įskaitant jų pataisas;• užtikrina tinkamas sistemas ir procedūras, skirtas biudžetui parengti, įgyvendinti ir kontroliuoti;• atlieka rengiamų dokumentų ir valstybės institucijų vadovams pateiktų klausimų bei paklausimų nagrinėjimo priežiūrą. ","• vadovauti viešosios politikos įgyvendinimui;• konsultuoti teisės aktų klausimais;• analizuoti teisės aktus;• vykdyti strateginį planavimą;• vykdyti strateginį valdymą;• užtikrinti informacijos teikimo skaidrumą."
111202,"Diplomatinės institucijos pareigūnas","Atstovauja savo šaliai ir Vyriausybei užsienio valstybėse bei tarptautinėse organizacijose diplomatijos ir bendradarbiavimo tikslais.","• atstovauja užsienio institucijose ir plėtoja užsienio politiką;• dalyvauja politinėse derybose;• derasi su užsienio organizacijų pareigūnais, kad būtų apsaugoti jo šalies interesai;• užtikrina savo šalies piliečių apsaugą toje šalyje, į kurią jie paskirti;• palengvina dviejų šalių bendravimą ir atlieka Vyriausybės patarėjo funkcijas;• sukuria sąlygas našiam ir draugiškam bendradarbiavimui su tarptautinėmis organizacijomis. ","• koordinuoti valdžios institucijų veiklą, susijusią su užsienio institucijomis;• konsultuoti užsienio reikalų politikos klausimais;• rengti tarptautinio bendradarbiavimo strategijas;• atstovauti nacionaliniams interesams politinio, ekonominio ar mokslinio bendradarbiavimo klausimais;• domėtis naujais pokyčiais užsienio šalyse;• mokėti įvairias užsienio kalbas."
111290,"Kiti vyresnieji valstybės tarnautojai","Kiti vyresnieji valstybės institucijų pareigūnai ir tarnautojai, kurie neišvardyti 1112 pogrupyje „Vyresnieji valstybės institucijų pareigūnai“ ir kurie konsultuoja valstybės politikos klausimais, prižiūri, kaip valstybės institucijos bei agentūros aiškina ir įgyvendina valstybės politikos kryptis ir teisės aktus.","• vadovaudamiesi teisės aktais ir valstybės politika apibrėžia valstybės institucijų arba agentūrų tikslus;• teikia rekomendacijas dėl vidurinės grandies vadovų ir vyresniųjų darbuotojų pateiktų dokumentų, suvestinių ir ataskaitų, jas vertina bei tvirtina;• atlieka valstybės institucijų bei agentūrų valstybės politikos krypčių ir teisės aktų aiškinimo ir įgyvendinimo priežiūrą;• rengia pateiktis teisėkūros ir kitiems Vyriausybės padaliniams dėl politikos krypčių, programų arba biudžeto;• užtikrina valdžios institucijų sprendimų vykdymą;• atstovauja savo šaliai užsienyje ir veikia jos vardu arba atlieka panašias užduotis tarpvyriausybinėse organizacijose. ","• vadovauti viešosios politikos įgyvendinimui;• konsultuoti teisės aktų klausimais;• palaikyti ryšius su vietos valdžios institucijomis;• analizuoti teisės aktus;• vykdyti strateginį valdymą."
